,Learning_rate,Training_accuracy,Testing_accuracy,Activation,pool
630,0.0125,97.7824,98.01,"['relu', 'relu', 'rrelu', 'rrelu', 'celu']","('max', 'avg')"
658,0.0125,97.5826,98.01,"['relu', 'relu', 'relu', 'rrelu', 'rrelu']","('max', 'max')"
236,0.016666666666666666,97.215,98.02,"['relu', 'relu', 'rrelu', 'rrelu', 'rrelu']","('max', 'max')"
640,0.0125,97.7946,98.03,"['relu', 'relu', 'rrelu', 'celu', 'celu']","('avg', 'avg')"
129,0.016666666666666666,97.7642,98.04,"['relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('max', 'max')"
1121,0.018182,97.6352,98.04,"['relu', 'rrelu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'avg')"
173,0.016666666666666666,97.7912,98.04,"['leaky_relu', 'leaky_relu', 'celu', 'celu', 'celu']","('max', 'avg')"
416,0.014285714285714284,97.5784,98.06,"['relu', 'relu', 'relu', 'rrelu', 'rrelu']","('max', 'max')"
15,0.018181818181818184,97.4964,98.06,"['relu', 'rrelu', 'leaky_relu', 'celu', 'celu']","('max', 'avg')"
546,0.013333333333333334,97.7666,98.06,"['relu', 'relu', 'leaky_relu', 'celu', 'celu']","('max', 'max')"
733,0.011764705882352941,97.5692,98.07,"['rrelu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('avg', 'avg')"
302,0.015384615384615384,97.7434,98.09,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('avg', 'avg')"
60,0.018181818181818184,97.6754,98.09,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('max', 'avg')"
1149,0.018182,97.745,98.09,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('max', 'max')"
1129,0.018182,96.6006,98.11,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('max', 'max')"
838,0.011764705882352941,97.5882,98.12,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'max')"
252,0.015384615384615384,97.0372,98.12,"['relu', 'relu', 'rrelu', 'leaky_relu', 'leaky_relu']","('avg', 'avg')"
562,0.013333333333333334,96.3234,98.12,"['relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('avg', 'avg')"
665,0.0125,98.03,98.12,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('max', 'avg')"
882,0.011111111111111113,97.2278,98.12,"['relu', 'relu', 'rrelu', 'celu', 'celu']","('max', 'avg')"
761,0.011764705882352941,97.6024,98.14,"['relu', 'relu', 'rrelu', 'celu', 'celu']","('avg', 'avg')"
145,0.016666666666666666,97.6132,98.15,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'max')"
449,0.014285714285714284,97.5058,98.15,"['relu', 'relu', 'rrelu', 'leaky_relu', 'celu']","('max', 'avg')"
492,0.013333333333333334,97.9202,98.16,"['relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('max', 'max')"
576,0.013333333333333334,98.0346,98.16,"['relu', 'relu', 'relu', 'celu', 'celu']","('max', 'max')"
403,0.014285714285714284,97.4876,98.17,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('max', 'max')"
370,0.014285714285714284,97.0066,98.18,"['rrelu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'avg')"
673,0.0125,97.5624,98.18,"['relu', 'relu', 'relu', 'rrelu', 'leaky_relu']","('max', 'max')"
1038,0.010526315789473684,97.1532,98.19,"['relu', 'relu', 'relu', 'leaky_relu', 'leaky_relu']","('max', 'max')"
153,0.016666666666666666,97.4152,98.19,"['relu', 'rrelu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'avg')"
655,0.0125,97.4818,98.2,"['relu', 'relu', 'relu', 'rrelu', 'celu']","('max', 'max')"
779,0.011764705882352941,97.4006,98.21,"['relu', 'relu', 'relu', 'rrelu', 'rrelu']","('max', 'max')"
939,0.011111111111111113,97.4908,98.22,"['relu', 'relu', 'relu', 'celu', 'celu']","('max', 'max')"
312,0.015384615384615384,96.8774,98.22,"['relu', 'relu', 'relu', 'leaky_relu', 'leaky_relu']","('max', 'max')"
747,0.011764705882352941,97.4326,98.22,"['relu', 'relu', 'relu', 'relu', 'celu']","('max', 'max')"
92,0.018181818181818184,97.6932,98.22,"['relu', 'relu', 'relu', 'celu', 'celu']","('max', 'avg')"
751,0.011764705882352941,97.0998,98.22,"['relu', 'relu', 'rrelu', 'rrelu', 'celu']","('max', 'avg')"
334,0.015384615384615384,97.3576,98.23,"['relu', 'relu', 'relu', 'celu', 'celu']","('max', 'avg')"
478,0.014285714285714284,97.5902,98.23,"['relu', 'relu', 'rrelu', 'rrelu', 'rrelu']","('max', 'avg')"
