Epoch,Learning_rate,Training_accuracy,Testing_accuracy,Activation,pool
10,0.018181818181818184,97.4578,95.73,"['rrelu', 'leaky_relu', 'celu', 'celu', 'celu']","('max', 'max')"
10,0.018181818181818184,97.5072,93.32,"['elu', 'relu', 'relu', 'leaky_relu', 'celu']","('max', 'max')"
10,0.018181818181818184,97.8288,95.36,"['elu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('avg', 'avg')"
10,0.018181818181818184,96.8158,72.66,"['elu', 'celu', 'celu', 'celu', 'celu']","('avg', 'avg')"
10,0.018181818181818184,97.1136,91.21,"['rrelu', 'rrelu', 'rrelu', 'celu', 'celu']","('avg', 'avg')"
10,0.018181818181818184,95.0894,83.09,"['relu', 'rrelu', 'rrelu', 'rrelu', 'leaky_relu']","('avg', 'avg')"
10,0.018181818181818184,97.1988,94.92,"['relu', 'rrelu', 'rrelu', 'leaky_relu', 'celu']","('max', 'avg')"
10,0.018181818181818184,97.4996,90.85,"['rrelu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'max')"
10,0.018181818181818184,97.7094,98.29,"['relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('avg', 'avg')"
10,0.018181818181818184,73.586,44.32,"['elu', 'elu', 'elu', 'relu', 'relu']","('max', 'max')"
10,0.018181818181818184,89.9382,94.44,"['relu', 'relu', 'rrelu', 'leaky_relu', 'leaky_relu']","('avg', 'avg')"
10,0.018181818181818184,97.0552,80.7,"['elu', 'relu', 'rrelu', 'rrelu', 'rrelu']","('max', 'max')"
10,0.018181818181818184,97.0332,79.98,"['elu', 'rrelu', 'rrelu', 'leaky_relu', 'celu']","('max', 'max')"
10,0.018181818181818184,96.4818,59.79,"['elu', 'elu', 'relu', 'leaky_relu', 'leaky_relu']","('max', 'max')"
10,0.018181818181818184,97.2472,69.04,"['elu', 'elu', 'elu', 'rrelu', 'leaky_relu']","('max', 'avg')"
10,0.018181818181818184,97.4964,98.06,"['relu', 'rrelu', 'leaky_relu', 'celu', 'celu']","('max', 'avg')"
10,0.018181818181818184,97.3848,91.54,"['elu', 'relu', 'rrelu', 'celu', 'celu']","('max', 'max')"
10,0.018181818181818184,97.0082,73.11,"['elu', 'elu', 'relu', 'leaky_relu', 'celu']","('max', 'avg')"
10,0.018181818181818184,97.5682,93.25,"['elu', 'relu', 'relu', 'rrelu', 'rrelu']","('max', 'max')"
10,0.018181818181818184,97.5036,68.53,"['elu', 'elu', 'relu', 'relu', 'celu']","('max', 'avg')"
10,0.018181818181818184,60.0682,47.95,"['elu', 'elu', 'relu', 'relu', 'relu']","('avg', 'avg')"
10,0.018181818181818184,97.682,98.65,"['relu', 'relu', 'relu', 'relu', 'celu']","('max', 'avg')"
10,0.018181818181818184,97.528,97.12,"['elu', 'relu', 'relu', 'relu', 'celu']","('avg', 'avg')"
10,0.018181818181818184,96.2478,69.61,"['elu', 'rrelu', 'rrelu', 'rrelu', 'leaky_relu']","('max', 'avg')"
10,0.018181818181818184,97.3068,98.55,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('avg', 'avg')"
10,0.018181818181818184,97.5382,98.35,"['relu', 'relu', 'rrelu', 'rrelu', 'celu']","('avg', 'avg')"
10,0.018181818181818184,97.1576,80.11,"['rrelu', 'rrelu', 'rrelu', 'rrelu', 'celu']","('avg', 'avg')"
10,0.018181818181818184,96.8594,72.12,"['elu', 'elu', 'elu', 'relu', 'rrelu']","('max', 'avg')"
10,0.018181818181818184,94.4682,81.45,"['elu', 'relu', 'rrelu', 'leaky_relu', 'leaky_relu']","('max', 'avg')"
10,0.018181818181818184,96.4498,24.77,"['elu', 'elu', 'relu', 'rrelu', 'rrelu']","('max', 'avg')"
10,0.018181818181818184,97.6758,96.91,"['elu', 'relu', 'leaky_relu', 'celu', 'celu']","('avg', 'avg')"
10,0.018181818181818184,97.4986,83.76,"['elu', 'relu', 'relu', 'rrelu', 'celu']","('max', 'avg')"
10,0.018181818181818184,97.5398,97.0,"['relu', 'rrelu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'max')"
10,0.018181818181818184,97.3358,98.56,"['relu', 'relu', 'relu', 'relu', 'rrelu']","('max', 'avg')"
10,0.018181818181818184,97.4914,78.41,"['elu', 'elu', 'elu', 'elu', 'celu']","('max', 'max')"
10,0.018181818181818184,97.266,97.72,"['relu', 'relu', 'rrelu', 'celu', 'celu']","('max', 'avg')"
10,0.018181818181818184,95.8018,98.27,"['relu', 'relu', 'relu', 'relu', 'leaky_relu']","('max', 'avg')"
10,0.018181818181818184,97.1678,87.31,"['rrelu', 'rrelu', 'rrelu', 'leaky_relu', 'leaky_relu']","('avg', 'avg')"
10,0.018181818181818184,10.598,9.91,"['relu', 'relu', 'rrelu', 'rrelu', 'leaky_relu']","('max', 'max')"
10,0.018181818181818184,97.0122,84.99,"['rrelu', 'rrelu', 'rrelu', 'rrelu', 'leaky_relu']","('avg', 'avg')"
10,0.018181818181818184,96.9082,98.27,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('avg', 'avg')"
10,0.018181818181818184,96.817,86.82,"['elu', 'rrelu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('avg', 'avg')"
10,0.018181818181818184,96.8106,66.34,"['elu', 'elu', 'elu', 'elu', 'leaky_relu']","('avg', 'avg')"
10,0.018181818181818184,96.968,70.49,"['elu', 'elu', 'elu', 'elu', 'rrelu']","('max', 'avg')"
10,0.018181818181818184,97.3068,97.42,"['relu', 'relu', 'celu', 'celu', 'celu']","('max', 'max')"
10,0.018181818181818184,96.3948,83.27,"['elu', 'elu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('max', 'avg')"
